n_bar,Gamma_bitflip,Gamma_phaseflip,bias
1.000,2.277618e-03,9.928660e-02,4.359230e+01
1.250,1.128916e-03,1.230342e-01,1.089844e+02
1.500,5.525929e-04,1.474636e-01,2.668576e+02
1.750,2.706582e-04,1.722327e-01,6.363478e+02
2.000,1.341311e-04,1.971583e-01,1.469893e+03
2.250,6.782802e-05,2.221416e-01,3.275071e+03
2.500,3.518632e-05,2.471544e-01,7.024161e+03
2.750,1.876270e-05,2.721814e-01,1.450651e+04
3.000,1.027470e-05,2.972101e-01,2.892641e+04
3.250,5.760916e-06,3.222364e-01,5.593492e+04
3.500,3.293941e-06,3.472592e-01,1.054236e+05
3.750,1.912646e-06,3.722788e-01,1.946407e+05
4.000,1.123631e-06,3.972955e-01,3.535817e+05
4.250,6.658071e-07,4.223099e-01,6.342826e+05
4.500,3.969903e-07,4.473224e-01,1.126784e+06
4.750,2.377619e-07,4.723333e-01,1.986581e+06
5.000,1.428522e-07,4.973430e-01,3.481521e+06
5.250,8.602667e-08,5.223516e-01,6.071972e+06
5.500,5.188867e-08,5.473592e-01,1.054872e+07
5.750,3.133807e-08,5.723662e-01,1.826425e+07
6.000,1.893963e-08,5.973724e-01,3.154088e+07
